Row ID,Order ID,Order Date,Customer Name,Sales,Quantity,Sales_per_Unit,Order_Month,Order_Year,Order_DayOfWeek,Is_Weekend,Sales_log,Sales_per_Unit_log,Segment_Consumer,Segment_Corporate,Segment_Home Office,Category_Furniture,Category_Office Supplies,Category_Technology,Zip_02108,Zip_10008,Zip_60610,Zip_77041,Zip_90036,Zip_Unknown,Quantity_scaled,Sales_log_scaled,Sales_per_Unit_log_scaled,Order_Month_scaled
528,CA-2018-118168,2016-05-13,Darrin Van Huff,629.86,4,157.465,5,2016,4,0,6.447083967876869,5.065533748743693,0,1,0,0,0,1,0,0,0,1,0,0,-0.49004784316046984,0.11778221836400363,0.1768103116408315,-0.4084883253912936
360,CA-2016-106291,2017-09-15,Ken Lonsdale,1464.64,5,292.928,9,2017,4,0,7.2900472861238494,5.683334839387096,1,0,0,0,1,0,0,0,0,1,0,0,-0.13507013444741875,1.0271472685674634,0.7204285509615836,0.7989411476475728
448,CA-2017-133460,2017-11-29,Darrin Van Huff,184.82,9,20.535555555555554,11,2017,2,0,5.224778463213166,3.0697053159701846,0,0,1,0,1,0,0,1,0,0,0,0,1.2848407004047857,-1.2008064824159854,-1.5793677771364165,1.402655884167006
32,CA-2019-119476,2018-07-03,Ken Lonsdale,745.52,9,82.83555555555556,7,2018,1,0,6.615422408314929,4.428857208141305,1,0,0,0,0,1,0,0,0,1,0,0,1.2848407004047857,0.29938097957519666,-0.3834168962112067,0.1952264111281396
622,CA-2018-106179,2016-03-05,Ruben Hope,1097.8,8,137.225,3,2016,5,1,7.001973954221119,4.928882792223996,0,0,1,0,0,1,0,1,0,0,0,0,0.9298629916917346,0.716381883814088,0.056567803963530706,-1.0122030619107267
591,CA-2017-103836,2017-10-29,Brosina Hoffman,370.56,5,74.112,10,2017,6,1,5.9177103585193205,4.318980332956246,1,0,0,0,1,0,0,1,0,0,0,0,-0.13507013444741875,-0.45329109933494105,-0.4801002370709019,1.1007985159072895
906,CA-2018-166411,2017-02-10,Ruben Hope,711.78,9,79.08666666666666,2,2017,4,0,6.569172817401564,4.383109381625119,0,0,1,0,0,1,1,0,0,0,0,0,1.2848407004047857,0.24948822546309066,-0.4236715239224983,-1.3140604301704435
738,CA-2016-116749,2019-02-24,Claire Gute,1104.47,5,220.894,2,2019,6,1,7.008025862887222,5.402199790366132,1,0,0,0,1,0,0,0,0,0,1,0,-0.13507013444741875,0.7229105121764974,0.4730509683144466,-1.3140604301704435
77,CA-2019-172856,2018-10-12,Ken Lonsdale,627.68,2,313.84,10,2018,4,0,6.443622383208129,5.752064573274249,0,1,0,0,0,1,0,1,0,0,0,0,-1.200003260586572,0.11404795846451103,0.7809055191809291,1.1007985159072895
949,CA-2018-194443,2018-08-03,Ken Lonsdale,417.96,5,83.592,8,2018,4,0,6.037775449971233,4.437839699493094,0,0,1,0,0,1,0,0,0,0,0,1,-0.13507013444741875,-0.32376826536049574,-0.3755129831114612,0.4970837793878562
433,CA-2016-162394,2017-02-08,Unknown,268.92,9,29.880000000000003,2,2017,2,0,5.598125618797658,3.4301087251565754,0,1,0,0,1,0,0,0,1,0,0,0,1.2848407004047857,-0.798050101999041,-1.2622400321156666,-1.3140604301704435
71,CA-2017-114764,2017-11-08,Sean O'Donnell,375.83,5,75.166,11,2017,2,0,5.931794157367271,4.332915168892614,0,1,0,0,1,0,0,0,1,0,0,0,-0.13507013444741875,-0.43809789440040586,-0.4678386352516775,1.402655884167006
681,CA-2016-120052,2019-09-01,Sandra Flanagan,916.21,3,305.40333333333336,9,2019,6,1,6.821336453671807,5.7249023168325,0,1,0,1,0,0,0,0,0,0,0,1,-0.8450255518735209,0.5215152434752687,0.7570047876243293,0.7989411476475728
102,CA-2016-121473,2018-10-13,Zuschuss Donatelli,543.39,2,271.695,10,2018,5,1,6.2996659017621655,5.608353954516602,0,1,0,0,1,0,1,0,0,0,0,0,-1.200003260586572,-0.04124823312951842,0.6544510426124805,1.1007985159072895
846,CA-2018-197111,2016-07-14,Unknown,1111.58,3,370.52666666666664,7,2016,3,0,7.014436921567347,5.917620642649419,0,1,0,1,0,0,0,0,1,0,0,0,-0.8450255518735209,0.7298265814434649,0.9265823402575403,0.1952264111281396
657,CA-2019-134559,2017-03-27,Sean O'Donnell,365.12,6,60.85333333333333,3,2017,0,0,5.902961148516579,4.124765991215433,0,1,0,1,0,0,1,0,0,0,0,0,0.21990757426563234,-0.4692021310539686,-0.6509941705827803,-1.0122030619107267
311,CA-2016-193007,2017-09-14,Sandra Flanagan,256.49,6,42.748333333333335,9,2017,3,0,5.550980884398238,3.7784535168398863,1,0,0,0,1,0,0,0,1,0,0,0,0.21990757426563234,-0.8489085116545323,-0.955722958579552,0.7989411476475728
345,CA-2019-156769,2017-02-12,Sandra Flanagan,98.29,4,24.5725,2,2017,6,1,4.598044861045503,3.2415175553490254,1,0,0,0,0,1,1,0,0,0,0,0,-0.49004784316046984,-1.876909014118804,-1.4281859995717148,-1.3140604301704435
838,CA-2018-112960,2017-04-11,Ken Lonsdale,365.84,6,60.97333333333333,4,2017,1,0,5.904925785690743,4.126704184995437,0,0,1,0,0,1,0,1,0,0,0,0,0.21990757426563234,-0.4670827358871294,-0.649288706629891,-0.7103456936510102
175,CA-2017-139562,2016-01-14,Ruben Hope,453.95,6,75.65833333333333,1,2016,3,0,6.120187522802699,4.339358318695111,0,0,1,1,0,0,0,0,0,1,0,0,0.21990757426563234,-0.2348644457926311,-0.46216915068073694,-1.61591779843016
97,CA-2018-112234,2019-09-02,Sean O'Donnell,1021.57,6,170.26166666666668,9,2019,0,0,6.930074345231403,5.14319260134251,0,0,1,0,0,1,0,0,0,1,0,0,0.21990757426563234,0.6388186137129501,0.24514422907285222,0.7989411476475728
599,CA-2019-147056,2019-01-30,Unknown,900.6,2,450.3,1,2019,2,0,6.804170962725567,6.112132306832955,1,0,0,0,1,0,0,0,0,1,0,0,-1.200003260586572,0.5029975960305889,1.097737895034372,-1.61591779843016
219,CA-2018-122972,2019-08-20,Brosina Hoffman,521.11,9,57.90111111111111,8,2019,1,0,6.2578782936519675,4.075859954844825,0,0,1,1,0,0,0,1,0,0,0,0,1.2848407004047857,-0.08632752605300838,-0.6940277841302391,0.4970837793878562
421,CA-2018-194580,2019-08-30,Ken Lonsdale,282.64,7,40.37714285714286,8,2019,4,0,5.647705828435796,3.7227286234653065,0,0,1,0,0,1,0,0,0,0,1,0,0.5748852829786835,-0.7445643703536301,-1.0047566506228556,0.4970837793878562
209,CA-2018-184907,2017-02-19,Brosina Hoffman,891.45,9,99.05000000000001,2,2017,6,1,6.793970489675517,4.605670061029743,1,0,0,1,0,0,0,1,0,0,0,0,1.2848407004047857,0.49199361342960457,-0.22783495692328806,-1.3140604301704435
775,CA-2019-181228,2019-06-14,Sean O'Donnell,686.795,6,114.46583333333332,6,2019,4,0,6.533490828416639,4.748974670904058,0,0,1,0,0,1,0,1,0,0,0,0,0.21990757426563234,0.21099550223034733,-0.10173773746825093,-0.106630957131577
291,CA-2019-160008,2018-02-26,Unknown,162.31,9,18.034444444444446,2,2018,0,0,5.095650235088652,2.946250203406148,1,0,0,0,1,0,0,1,0,0,0,0,1.2848407004047857,-1.340106372588346,-1.687998940052159,-1.3140604301704435
890,CA-2016-183743,2018-07-24,Sean O'Donnell,301.64,2,150.82,7,2018,1,0,5.7125439803247735,5.022695608588622,0,1,0,0,0,1,0,0,1,0,0,0,-1.200003260586572,-0.6746188009897865,0.13911598788587856,0.1952264111281396
671,CA-2016-109321,2019-06-29,Darrin Van Huff,642.41,3,214.13666666666666,6,2019,5,1,6.46678215711498,5.371273485096838,1,0,0,1,0,0,0,0,1,0,0,0,-0.8450255518735209,0.13903206928596668,0.44583815844115704,-0.106630957131577
904,CA-2018-119560,2017-01-06,Brosina Hoffman,212.64,5,42.528,1,2017,4,0,5.364292355471569,3.773404409183624,1,0,0,0,0,1,0,0,0,0,1,0,-0.13507013444741875,-1.0503028307250923,-0.9601657914845242,-1.61591779843016
10412,CA-2019-134674,2016-07-08,Sandra Flanagan,1050.98,4,262.745,7,2016,4,0,6.958429381710092,5.5749827272646115,1,0,0,0,1,0,0,0,1,0,0,0,-0.49004784316046984,0.6694072272537934,0.6250868862886276,0.1952264111281396
637,CA-2018-129753,2019-08-15,Ken Lonsdale,307.27,2,153.635,8,2019,3,0,5.7309760223403305,5.041067501216458,0,1,0,1,0,0,0,0,0,1,0,0,-1.200003260586572,-0.6547348339772168,0.1552818640466552,0.4970837793878562
330,CA-2017-170070,2016-08-25,Ruben Hope,1448.02,1,1448.02,8,2016,3,0,7.278642744847925,7.278642744847925,0,0,1,0,1,0,1,0,0,0,0,0,-1.554980969299623,1.014844371127637,2.1241788645745228,0.4970837793878562
763,CA-2017-149052,2019-08-28,Darrin Van Huff,1133.8,3,377.93333333333334,8,2019,2,0,7.034211702934696,5.937360288114781,0,1,0,1,0,0,0,0,0,1,0,0,-0.8450255518735209,0.7511590577940117,0.9439517354807183,0.4970837793878562
491,CA-2016-168521,2016-11-30,Ruben Hope,89.49,5,17.898,11,2016,2,0,4.505239347363042,2.939056096360434,1,0,0,0,1,0,0,0,1,0,0,0,-0.13507013444741875,-1.9770249845082566,-1.6943292102069154,1.402655884167006
351,CA-2019-104282,2016-02-01,Ruben Hope,778.33,10,77.833,2,2016,0,0,6.658434576194791,4.367331690925129,0,1,0,0,1,0,0,0,1,0,0,0,1.6398184091178367,0.3457812930369628,-0.437554698570092,-1.3140604301704435
501,CA-2016-108784,2017-06-03,Unknown,51.41,2,25.705,6,2017,5,1,3.959097412814075,3.2848508137917336,0,0,1,0,1,0,0,0,0,1,0,0,-1.200003260586572,-2.566187498438459,-1.3900560091663512,-0.106630957131577
308,CA-2016-138138,2016-06-28,Brosina Hoffman,1401.22,10,140.122,6,2016,1,0,7.2458119739716755,4.949624764493656,0,1,0,0,1,0,0,0,1,0,0,0,1.6398184091178367,0.9794274615660375,0.07481917097476277,-0.106630957131577
854,CA-2016-187525,2016-08-12,Ken Lonsdale,528.11,7,75.44428571428571,8,2016,4,0,6.271196349750383,4.336562184183008,1,0,0,0,1,0,0,0,0,0,0,1,0.5748852829786835,-0.07196038279731592,-0.46462953759716386,0.4970837793878562
352,CA-2018-172470,2016-11-21,Ken Lonsdale,980.52,7,140.0742857142857,11,2016,0,0,6.889102390482927,4.949286600679428,1,0,0,0,1,0,0,0,0,0,1,0,0.5748852829786835,0.5946192246288985,0.07452161239146336,1.402655884167006
644,CA-2018-108442,2016-05-27,Darrin Van Huff,93.69,7,13.384285714285713,5,2016,4,0,4.550608397995409,2.6661363408722103,0,1,0,0,1,0,0,0,0,0,0,1,0.5748852829786835,-1.9280821324138342,-1.9344779558166811,-0.4084883253912936
440,CA-2019-136289,2018-08-11,Sean O'Donnell,341.72,6,56.95333333333334,8,2018,5,1,5.836913787259384,4.059638088982808,0,0,1,0,1,0,1,0,0,0,0,0,0.21990757426563234,-0.5404521613759972,-0.7083017993302171,0.4970837793878562
