Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales
1,CA-2016-111707,01/01/2016,01/06/2016,Standard Class,PE-27197,Pete Kriz,Home Office,United States,Albany,New York,10008,West,OFF-PA-10001790,Office Supplies,Paper,Xerox 1970 Multipurpose Paper,13.21
2,CA-2017-163627,01/02/2016,01/04/2016,Standard Class,DA-81920,Darrin Van Huff,Corporate,United States,Spokane,Washington,98103,East,TEC-CO-10008293,Technology,Copiers,Hewlett Packard LaserJet 3310 Copier,495.15
3,CA-2018-122907,01/05/2016,01/08/2016,Standard Class,CL-59928,Claire Gute,Consumer,United States,Tacoma,Washington,98103,East,FUR-FU-10008474,Furniture,Furnishings,Eldon Expressions Desk Organizer,252.65
4,CA-2016-131715,01/05/2016,01/10/2016,Second Class,PE-30177,Pete Kriz,Corporate,United States,Miami,Florida,33311,East,FUR-CH-10003697,Furniture,Chairs,Hon Deluxe Fabric Upholstered Stacking Chairs,123.71
5,CA-2017-110250,01/06/2016,01/08/2016,First Class,BR-30903,Brosina Hoffman,Home Office,United States,Chicago,Illinois,60610,Central,OFF-AP-10008193,Office Supplies,Appliances,Kensington SafeMouse Mouse Pad with Gel Wrist Rest,59.08
6,CA-2016-136646,01/07/2016,01/10/2016,First Class,KE-11383,Ken Lonsdale,Corporate,United States,Chicago,Illinois,60610,South,FUR-CH-10001399,Furniture,Chairs,Hon Deluxe Fabric Upholstered Stacking Chairs,387.83
7,CA-2016-186290,01/08/2016,01/12/2016,Standard Class,SE-69315,Sean O'Donnell,Home Office,United States,Buffalo,New York,10008,Central,TEC-CO-10004832,Technology,Copiers,Hewlett Packard LaserJet 3310 Copier,340.02
8,CA-2018-110985,01/08/2016,01/12/2016,Standard Class,AL-96064,Alejandro Grove,Home Office,United States,Tampa,Florida,33311,East,TEC-MA-10001948,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,595.56
9,CA-2016-159426,01/10/2016,01/15/2016,Standard Class,ZU-69295,Zuschuss Donatelli,Consumer,United States,San Francisco,California,90036,West,FUR-BO-10008111,Furniture,Bookcases,Bush Somerset Collection Bookcase,522.38
10,CA-2018-156242,01/10/2016,01/16/2016,Standard Class,DA-85920,Darrin Van Huff,Corporate,United States,Fort Lauderdale,Florida,33311,South,TEC-MA-10008471,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,334.39
11,CA-2018-118816,01/11/2016,01/17/2016,Standard Class,CL-59163,Claire Gute,Consumer,United States,San Francisco,California,90036,East,FUR-FU-10007584,Furniture,Furnishings,Eldon Expressions Desk Organizer,190.81
12,CA-2017-141007,01/12/2016,01/14/2016,First Class,BR-52496,Brosina Hoffman,Consumer,United States,Tacoma,Washington,98103,East,FUR-BO-10003513,Furniture,Bookcases,Bush Somerset Collection Bookcase,245.25
13,CA-2017-127576,01/12/2016,01/18/2016,Second Class,DA-84776,Darrin Van Huff,Home Office,United States,Naperville,Illinois,60610,West,OFF-ST-10006963,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,34.88
14,CA-2017-133009,01/12/2016,01/18/2016,Standard Class,ZU-26660,Zuschuss Donatelli,Consumer,United States,Miami,Florida,33311,East,TEC-AC-10002056,Technology,Accessories,Logitech Wireless Headset,351.36
15,CA-2017-152388,01/14/2016,01/18/2016,Standard Class,BR-24825,Brosina Hoffman,Corporate,United States,Tampa,Florida,33311,South,TEC-MA-10007329,Technology,Machines,Lexmark MX611dhe Monochrome Laser Printer,195.96
16,CA-2017-174470,01/18/2016,01/16/2016,First Class,DA-17889,Darrin Van Huff,Home Office,United States,Dallas,Texas,77041,West,FUR-FU-10008689,Furniture,Furnishings,Eldon Expressions Desk Organizer,410.54
17,CA-2018-187964,01/18/2016,01/24/2016,Standard Class,PE-34378,Pete Kriz,Corporate,United States,San Diego,California,90036,West,FUR-CH-10006529,Furniture,Chairs,Hon Deluxe Fabric Upholstered Stacking Chairs,116.95
18,CA-2016-169098,01/30/2016,02/02/2016,Standard Class,DA-42383,Darrin Van Huff,Consumer,United States,Houston,Texas,77041,West,FUR-BO-10007609,Furniture,Bookcases,Bush Somerset Collection Bookcase,345.5
19,CA-2017-130533,01/30/2016,02/05/2016,Standard Class,ZU-57468,Zuschuss Donatelli,Corporate,United States,Houston,Texas,77041,East,FUR-CH-10004456,Furniture,Chairs,Hon Deluxe Fabric Upholstered Stacking Chairs,175.07
20,CA-2017-117258,02/04/2016,02/07/2016,Standard Class,SA-60630,Sandra Flanagan,Consumer,United States,Dallas,Texas,77041,East,TEC-PH-10007604,Technology,Phones,Samsung Galaxy S4,266.95
21,CA-2017-114080,02/04/2016,02/08/2016,Standard Class,IR-76592,Irene Maddox,Home Office,United States,Fort Lauderdale,Florida,33311,South,TEC-PH-10008590,Technology,Phones,Samsung Galaxy S4,357.54
22,CA-2017-116374,02/05/2016,02/10/2016,Same Day,DA-70676,Darrin Van Huff,Consumer,United States,New York City,New York,10008,West,TEC-AC-10001211,Technology,Accessories,Logitech Wireless Headset,536.68
23,CA-2016-147130,02/06/2016,02/09/2016,Standard Class,PE-99242,Pete Kriz,Consumer,United States,Peoria,Illinois,60610,South,TEC-PH-10001290,Technology,Phones,Samsung Galaxy S4,433.22
24,CA-2018-180044,02/07/2016,02/13/2016,First Class,HA-68333,Harold Pawlan,Consumer,United States,Tacoma,Washington,98103,South,OFF-PA-10004676,Office Supplies,Paper,Xerox 1970 Multipurpose Paper,37.81
25,CA-2017-165496,02/08/2016,02/13/2016,Standard Class,DA-47336,Darrin Van Huff,Consumer,United States,San Francisco,California,90036,East,OFF-ST-10002887,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,27.19
26,CA-2016-189100,02/09/2016,02/13/2016,Standard Class,SA-12169,Sandra Flanagan,Consumer,United States,Dallas,Texas,77041,Central,TEC-CO-10002229,Technology,Copiers,Hewlett Packard LaserJet 3310 Copier,579.74
27,CA-2017-140747,02/10/2016,02/15/2016,Standard Class,PE-47159,Pete Kriz,Consumer,United States,Los Angeles,California,90036,West,TEC-PH-10007081,Technology,Phones,Samsung Galaxy S4,537.66
28,CA-2016-182583,02/10/2016,02/16/2016,Standard Class,SA-42312,Sandra Flanagan,Corporate,United States,Houston,Texas,77041,East,OFF-AR-10005054,Office Supplies,Art,Newell 318 Art Markers,29.08
29,CA-2016-194559,02/10/2016,02/14/2016,Standard Class,HA-73510,Harold Pawlan,Home Office,United States,Chicago,Illinois,60610,West,TEC-PH-10002103,Technology,Phones,Samsung Galaxy S4,298.18
30,CA-2018-181228,02/13/2016,02/19/2016,Standard Class,CL-47456,Claire Gute,Consumer,United States,Los Angeles,California,90036,Central,FUR-FU-10009177,Furniture,Furnishings,Eldon Expressions Desk Organizer,258.09
31,CA-2016-175087,02/14/2016,02/17/2016,First Class,BR-33409,Brosina Hoffman,Consumer,United States,Austin,Texas,77041,East,OFF-LA-10004427,Office Supplies,Labels,Self-Adhesive Address Labels,39.14
